Time,Coastal GDP (global) ssp126,Coastal GDP (Global) ssp126,Coastal Capital (global) ssp126,Coastal Capital (Global) ssp126,Coastal pop (global) ssp126,Coastal pop (Global) ssp126,Coastal GDP (global) ssp245,Coastal GDP (Global) ssp245,Coastal Capital (global) ssp245,Coastal Capital (Global) ssp245,Coastal pop (global) ssp245,Coastal pop (Global) ssp245,Coastal GDP (global) ssp370,Coastal GDP (Global) ssp370,Coastal Capital (global) ssp370,Coastal Capital (Global) ssp370,Coastal pop (global) ssp370,Coastal pop (Global) ssp370,Coastal GDP (global) ssp460,Coastal GDP (Global) ssp460,Coastal Capital (global) ssp460,Coastal Capital (Global) ssp460,Coastal pop (global) ssp460,Coastal pop (Global) ssp460,Coastal GDP (global) ssp585,Coastal GDP (Global) ssp585,Coastal Capital (global) ssp585,Coastal Capital (Global) ssp585,Coastal pop (global) ssp585,Coastal pop (Global) ssp585
2120.0,114762.44553103742,114762.44553103742,571298.6732686684,571298.6732686684,820.5666719736478,820.5666719736478,123232.68865047274,123232.68865047274,552794.6240639485,552794.6240639485,1139.1860824120315,1139.1860824120315,62228.55933165391,62228.55933165391,273846.80476386956,273846.80476386956,1679.7162189889405,1679.7162189889405,77117.84809765947,77117.84809765947,349097.8142777944,349097.8142777944,1029.8329121048362,1029.8329121048362,237099.69215167296,237099.69215167296,1068422.6159017645,1068422.6159017645,938.4881112664634,938.4881112664634
2121.0,115059.74590157732,115059.74590157732,572492.7235974214,572492.7235974214,815.4152910187056,815.4152910187056,124116.3444018213,124116.3444018213,556236.3262391863,556236.3262391863,1136.4685152538445,1136.4685152538445,62554.38264298338,62554.38264298338,274447.4386584153,274447.4386584153,1682.0442465737694,1682.0442465737694,77291.85717090711,77291.85717090711,349252.7541369739,349252.7541369739,1026.8956359791762,1026.8956359791762,238784.19641055475,238784.19641055475,1075683.401103812,1075683.401103812,934.260592265771,934.260592265771
2122.0,115357.35051745702,115357.35051745702,573671.659365051,573671.659365051,810.441543889802,810.441543889802,124990.4561848181,124990.4561848181,559634.4625641052,559634.4625641052,1133.8446573080078,1133.8446573080078,62876.474929949494,62876.474929949494,275040.469592269,275040.469592269,1684.2919973453331,1684.2919973453331,77466.23101945508,77466.23101945508,349405.73273211316,349405.73273211316,1024.059645237153,1024.059645237153,240447.27882429239,240447.27882429239,1082852.2776324162,1082852.2776324162,930.1788497823467,930.1788497823467
2123.0,115656.07250802129,115656.07250802129,574835.4805715572,574835.4805715572,805.6454305869272,805.6454305869272,125855.3787317127,125855.3787317127,562989.0330387062,562989.0330387062,1131.3145085745257,1131.3145085745257,63194.79445599597,63194.79445599597,275625.89756543323,275625.89756543323,1686.4594713036256,1686.4594713036256,77641.52884434236,77641.52884434236,349556.7500632134,349556.7500632134,1021.3249398787768,1021.3249398787768,242090.5185700965,242090.5185700965,1089929.2454875766,1089929.2454875766,926.2428838161871,926.2428838161871
2124.0,115956.70966055164,115956.70966055164,575984.1872169413,575984.1872169413,801.026951110086,801.026951110086,126711.4600816957,126711.4600816957,566300.0376629867,566300.0376629867,1128.8780690533938,1128.8780690533938,63509.30027204806,63509.30027204806,276203.7225779079,276203.7225779079,1688.546668448646,1688.546668448646,77818.29929564513,77818.29929564513,349705.8061302714,349705.8061302714,1018.6915199040436,1018.6915199040436,243715.46502938168,243715.46502938168,1096914.3046692912,1096914.3046692912,922.4526943672895,922.4526943672895
2125.0,116260.04442026671,116260.04442026671,577117.7793012009,577117.7793012009,796.5861054592764,796.5861054592764,127559.04158089256,127559.04158089256,569567.476436948,569567.476436948,1126.5353387446128,1126.5353387446128,63819.95221651373,63819.95221651373,276773.9446296913,276773.9446296913,1690.5535887803978,1690.5535887803978,77997.08047247492,77997.08047247492,349852.90093329025,349852.90093329025,1016.1593853129539,1016.1593853129539,245323.63778776734,245323.63778776734,1103807.4551775637,1103807.4551775637,918.8082814356594,918.8082814356594
2126.0,116566.84389032207,116566.84389032207,578236.2568243362,578236.2568243362,792.3228936344984,792.3228936344984,128398.45788236987,128398.45788236987,572791.3493605886,572791.3493605886,1124.2863176481824,1124.2863176481824,64126.710915282834,64126.710915282834,277336.56372078357,277336.56372078357,1692.4802322988808,1692.4802322988808,78178.39992298278,78178.39992298278,349998.0344722697,349998.0344722697,1013.7285361055079,1013.7285361055079,246916.5266350735,246916.5266350735,1110608.6970123937,1110608.6970123937,915.3096450212962,915.3096450212962
2127.0,116877.85983180984,116877.85983180984,579339.6197863497,579339.6197863497,788.2373156357543,788.2373156357543,129230.03694613192,129230.03694613192,575971.6564339099,575971.6564339099,1122.1310057641026,1122.1310057641026,64429.53778172728,64429.53778172728,277891.57985118625,277891.57985118625,1694.3265990040918,1694.3265990040918,78362.77464435472,78362.77464435472,350141.2067472072,350141.2067472072,1011.3989722817041,1011.3989722817041,248495.59156532754,248495.59156532754,1117318.0301737774,1117318.0301737774,911.9567851241961,911.9567851241961
2128.0,117193.82866375844,117193.82866375844,580427.8681872393,580427.8681872393,784.3293714630393,784.3293714630393,130054.10003912312,130054.10003912312,579108.3976569145,579108.3976569145,1120.069403092378,1120.069403092378,64728.39501670165,64728.39501670165,278438.9930208994,278438.9930208994,1696.0926888960325,1696.0926888960325,78550.71108281452,78550.71108281452,350282.4177581051,350282.4177581051,1009.1706938415488,1009.1706938415488,250062.26277675902,250062.26277675902,1123935.4546617179,1123935.4546617179,908.74970174436,908.74970174436
2129.0,117515.47146313496,117515.47146313496,581501.0020270059,581501.0020270059,780.5990611163619,780.5990611163619,130870.96173522447,130870.96173522447,582201.5730295981,582201.5730295981,1118.1015096330034,1118.1015096330034,65023.24560854258,65023.24560854258,278978.80322992057,278978.80322992057,1697.7785019747066,1697.7785019747066,78742.70513362346,78742.70513362346,350421.66750496306,350421.66750496306,1007.0437007850298,1007.0437007850298,251617.9406717988,251617.9406717988,1130460.9704762145,1130460.9704762145,905.6883948817924,905.6883948817924
